"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"2317","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/thehawkgriffith","Shahbaz Khan","4 years ago","1","1","64"
"2318","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/niteshx2","Nitesh Chaudhry","4 years ago","1","1","57"
"2319","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/divya2509","Divya Shah","4 years ago","2","4","48"
"2320","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/najeedosmani","Mohommad Najeed Osmani","4 years ago","0","0","62"
"2321","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ahmedsmara","Ahmed Mohamed","4 years ago","0","0","88"
"2322","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/akhileshrai","Akhilesh","4 years ago","0","1","118"
"2323","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/azaemon","Abu Zahid Bin Aziz","4 years ago","0","1","53"
"2324","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lodetomasi1995","Lorenzo De Tomasi","4 years ago","0","5","70"
"2325","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kushshah95","Kush Shah","4 years ago","0","0","60"
"2326","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saga21","Patrick Sánchez","3 years ago","0","0","55"
"2327","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rikdifos","Seanny","3 years ago","1","0","53"
"2328","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ranand60","Rahul Anand","3 years ago","0","0","56"
"2329","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/siddalore","Siddharth Chillale","3 years ago","0","0","58"
"2330","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anushakarthik1991","Anusha Nidamanuri","3 years ago","0","1","62"
"2331","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/leila73","leilaSoleymani","3 years ago","0","0","61"
"2332","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fabianikiabi","Fabiani Kiabi","3 years ago","0","0","72"
"2333","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chittalpatel","Chittal Patel","3 years ago","0","1","63"
"2334","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adakibet","Ada Kibet","2 years ago","0","0","64"
"2335","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/machinescientist","Shivam","2 years ago","0","0","62"
"2336","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/artemkostrikin","Artem Kostrikin","2 years ago","0","0","59"
"2337","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pateldeep7799","Deep Patel","2 years ago","0","0","53"
"2338","14","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kenghweeng","kenghweeng","2 years ago","0","0","51"
"2339","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mschumacher","Max Schumacher","10 years ago","3","9","60"
"2340","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/georgem","Evdilos_Ikaria","10 years ago","1","2","47"
"2341","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/amjad85","Amjad","8 years ago","1","5","50"
"2342","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kelexu","Kele Xu","7 years ago","6","10","64"
"2343","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jturkewitz","Jared Turkewitz","7 years ago","19","30","174"
"2344","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammadalfiansyah","Muhammad Alfiansyah","7 years ago","4","3","78"
"2345","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/qqgeogor","qianqian","7 years ago","14","18","64"
"2346","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pranav84","Pranav Pandya","6 years ago","2","11","151"
"2347","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/a45632","Eric Vos","6 years ago","0","1","70"
"2348","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shaitender","Shaitender Singh","5 years ago","0","0","55"
"2349","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ilhamfp31","Ilham Firdausi Putra","5 years ago","1","2","66"
"2350","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tayyabali55","Tayyab Ali","5 years ago","0","2","54"
"2351","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/prazhant","Ritisha Jaiswal","5 years ago","0","2","93"
"2352","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/econdata","piAI","5 years ago","0","1","127"
"2353","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/duygut","Duygu","4 years ago","0","1","54"
"2354","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rohandeysarkar","RohanDeySarkar","4 years ago","0","0","52"
"2355","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nhlr21","Nicolas H","4 years ago","0","5","85"
"2356","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dhaqui","dhaqui the kaggler","4 years ago","1","2","96"
"2357","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tavoosi","Saba Tavoosi","4 years ago","1","0","89"
"2358","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mtszkw","mtszkw","4 years ago","0","2","61"
"2359","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/felipejardimf","Felipe Jardim","3 years ago","0","1","58"
"2360","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mahmoudelfahl","Mahmoud El Fahl","3 years ago","0","1","61"
"2361","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ganeshnimmala","Ganesh","3 years ago","1","0","105"
"2362","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mrtrinath1","Trinath Sahu","3 years ago","0","0","59"
"2363","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vishumudgal","Gurpreet Singh","3 years ago","0","0","57"
"2364","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andreagarritano","Andrea Garritano","3 years ago","1","1","56"
"2365","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/psvishnu","psv","3 years ago","0","0","83"
"2366","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/delllectron","John Wendell Balagot","3 years ago","0","0","53"
"2367","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/erikcabeza","Erik","3 years ago","0","0","54"
"2368","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harshkothari21","Harsh Kothari21","2 years ago","0","0","61"
"2369","13","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sujay12345","Sujay Sreedhar","2 years ago","0","1","57"
"2370","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mlandry","mlandry","10 years ago","6","8","62"
"2371","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wjholst","Bill Holst","10 years ago","1","2","53"
"2372","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mlwhiz","Rahul Agarwal","9 years ago","5","5","51"
"2373","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/samehif","Sameh Faidi","8 years ago","7","19","89"
"2374","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/thomasseleck","Thomas SELECK","8 years ago","1","4","50"
"2375","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/garethjns","GarethJones","6 years ago","3","3","91"
"2376","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lgmoneda","Luis Moneda","6 years ago","0","8","73"
"2377","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/binilg","Binil","6 years ago","3","4","74"
"2378","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aditya1702","Aditya Vyas","6 years ago","3","4","99"
"2379","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stevenknguyen","Steven Nguyen","6 years ago","3","11","175"
"2380","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nuhsikander","Nooh","6 years ago","4","6","81"
"2381","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/masteronepiece","Mohammed Deeb","5 years ago","0","0","70"
"2382","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/joelhanson","Joel Hanson","5 years ago","0","0","111"
"2383","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/spurryag","Ahan","5 years ago","1","2","83"
"2384","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/akashravichandran","Akash Ravichandran","5 years ago","1","5","72"
"2385","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/techytushar","Tushar Mittal","4 years ago","0","1","58"
"2386","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kralmachine","KraLMachine","4 years ago","1","1","129"
"2387","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/angrim","Ben Nye","4 years ago","0","5","88"
"2388","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/atikahamed","Md. Atik Ahamed","4 years ago","0","0","59"
"2389","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mateiionita","Matei Ionita","4 years ago","1","5","52"
"2390","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mmmarchetti","Marcos Martins Marchetti","3 years ago","0","1","74"
"2391","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dimakyn","DimaKyn","3 years ago","0","0","56"
"2392","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/winterbreeze","Sagar Shee","3 years ago","0","0","55"
"2393","12","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vinayshaw","Vinay Shaw","2 years ago","0","0","55"
"2394","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ben519","Ben Gorman","9 years ago","1","13","47"
"2395","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/droussea","David Rousseau","8 years ago","4","9","89"
"2396","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abednadir","SteveKane","7 years ago","1","6","67"
"2397","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/residentmario","Aleksey Bilogur","6 years ago","0","2","239"
"2398","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/areveillon","Antoine","5 years ago","2","3","63"
"2399","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chandraroy","CBR","5 years ago","0","0","65"
"2400","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/zjucor","good good study","5 years ago","2","2","57"
"2401","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/taniaj","Tania J","5 years ago","1","3","58"
"2402","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/blacksix","blacksix","5 years ago","1","9","66"
"2403","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vjcalling","Vibhor Jain","5 years ago","0","2","104"
"2404","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gunishj","gunish jha","5 years ago","0","1","90"
"2405","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/adrianoavelar","Adriano Avelar","4 years ago","1","3","48"
"2406","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cihanyatbaz","Cihan Yatbaz","4 years ago","0","0","113"
"2407","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/larsen0966","Data-Science Sean","4 years ago","0","0","57"
"2408","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/iluvmahheart","Pawandeep Singh","3 years ago","0","0","83"
"2409","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/umairnsr87","databender","3 years ago","0","0","68"
"2410","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rohanmahajan011","Rohan Mahajan","3 years ago","0","1","58"
"2411","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/emrecetin","Emre Çetin","3 years ago","0","0","60"
"2412","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/melihkanbay","Melih Kanbay","3 years ago","0","0","62"
"2413","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cometome","lossfunction","3 years ago","0","0","54"
"2414","11","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rishigottumukkala","Rishi Gottumukkala","3 years ago","0","0","52"
"2415","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sermakarevich","SM","8 years ago","3","2","52"
"2416","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cttsai","Chia-Ta Tsai","8 years ago","4","5","84"
"2417","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ankittomar1","Ankit","7 years ago","0","0","75"
"2418","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mithrillion","Mithrillion","7 years ago","2","6","48"
"2419","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/delayedkarma","Panchajanya Banerjee (Pancham)","7 years ago","1","2","75"
"2420","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/johnfarrell","Jiazhen Xi","7 years ago","3","8","48"
"2421","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pavetr","SuperHeroy","7 years ago","7","5","45"
"2422","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cczaixian","KALE","6 years ago","1","7","76"
"2423","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mumech","r4m0n","6 years ago","1","6","90"
"2424","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kevinbonnes","Kevin","5 years ago","3","8","59"
"2425","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/codename007","Lathwal","5 years ago","4","4","131"
"2426","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hortonhearsafoo","William Horton","5 years ago","2","1","61"
"2427","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jinmahkust","newrukooie","5 years ago","3","3","51"
"2428","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ashukr","pooh","5 years ago","2","2","58"
"2429","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wjshenggggg","wjsheng","5 years ago","1","0","64"
"2430","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/icemekaveli","Mekaveli.","5 years ago","3","1","60"
"2431","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nicolefinnie","Nicole Finnie","4 years ago","2","4","91"
"2432","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/piyras23","Piyush Rastogi","4 years ago","0","0","70"
"2433","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/damnboy","Saikat Biswas","4 years ago","0","0","78"
"2434","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stjarnan","Captain Awesome","3 years ago","0","0","58"
"2435","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/anuragnegi","AnuragNegi","3 years ago","1","0","52"
"2436","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/regressionsquirrel","Robert Lohne","3 years ago","0","1","62"
"2437","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/evgenyshtepin","Evgeny Shtepin","3 years ago","0","0","58"
"2438","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mpanfil","Monika Panfil","3 years ago","0","1","56"
"2439","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pujakarki","Puja Karki","3 years ago","0","0","56"
"2440","10","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sharkyun","Sharkyun","2 years ago","0","0","51"
"2441","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mrooijer","MrOoijer","9 years ago","3","12","71"
"2442","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bishwarup","Bishwarup B","7 years ago","6","12","51"
"2443","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bearstrikesback","bearstrikesback","7 years ago","2","4","47"
"2444","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yilihome","yilisg","7 years ago","7","8","40"
"2445","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jkkphys","Jason King","7 years ago","1","2","179"
"2446","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mtodisco10","mtodisco10","7 years ago","0","1","73"
"2447","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ash316","Ashwini Swain","6 years ago","1","3","108"
"2448","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/asuilin","Arthur Suilin","5 years ago","4","8","47"
"2449","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/pradeepmuniasamy","Pradeep Muniasamy","5 years ago","0","0","63"
"2450","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ybwu01","Yibing Wu","5 years ago","2","6","53"
"2451","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bharatsingh213","Bharat Singh","5 years ago","1","0","59"
"2452","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rohandx1996","rohan","5 years ago","1","0","59"
"2453","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shanth84","Shanth","5 years ago","4","3","49"
"2454","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alecthekulak","Alec Kulakowski","5 years ago","1","1","88"
"2455","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fatall","Murat Korkmaz","4 years ago","2","2","48"
"2456","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lsind18","Daria Chemkaeva","3 years ago","0","0","50"
"2457","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rhhridoy","Rashidul H","3 years ago","0","0","74"
"2458","9","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dsv61999","ysuzuki","3 years ago","0","1","56"
"2459","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/herrahuu","Herra Huu","11 years ago","5","22","87"
"2460","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nedelko","Victor","11 years ago","2","9","45"
"2461","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/julesvanligtenberg","Jules","10 years ago","3","7","60"
"2462","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tobycheese","Toby Cheese","8 years ago","6","8","93"
"2463","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/annavictoria","Anna Montoya","8 years ago","8","12","102"
"2464","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wythhh","Snorlax","7 years ago","1","12","59"
"2465","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mrbeer","Yair Beer","7 years ago","2","5","73"
"2466","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chechir","Matias Thayer","7 years ago","2","6","55"
"2467","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/radustoicescu","Radu Stoicescu","7 years ago","7","7","69"
"2468","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abhilashawasthi","Abhilash Awasthi","7 years ago","2","3","58"
"2469","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cbryant","TheGruffalo","7 years ago","1","2","50"
"2470","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sohaibomar","Sohaib Omar","6 years ago","0","7","111"
"2471","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/cjansen","Charles Jansen","6 years ago","5","8","80"
"2472","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rhgrossm","To Train Them Is My Cause","6 years ago","5","9","46"
"2473","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/timjoseph","Tim Joseph","6 years ago","3","9","76"
"2474","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arunkumarramanan","Arunkumar Venkataramanan","5 years ago","0","0","64"
"2475","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rivershadowy","AlphaMeow","5 years ago","2","10","108"
"2476","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ericbenhamou","Eric","5 years ago","4","2","81"
"2477","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/krishnakatyal","Krishna Katyal","4 years ago","0","0","63"
"2478","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sz8416","oskird","4 years ago","1","7","84"
"2479","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/xtelima","Y Assous","4 years ago","1","1","72"
"2480","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/afgonczol","Allen","4 years ago","1","6","53"
"2481","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ishaan45","Ishaan Jain","4 years ago","0","2","55"
"2482","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/haripriyatv","Haripriya TV","4 years ago","0","2","60"
"2483","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/xasiimov","Xiaoyang Liu","4 years ago","0","1","55"
"2484","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/denizkavi1","Deniz Kavi","4 years ago","0","1","62"
"2485","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/victormenuzzo","Victor Menuzzo","4 years ago","0","0","56"
"2486","8","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hemanth007","Dr. Hemanth Kumar","3 years ago","0","0","56"
"2487","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/melgor","Bartek","9 years ago","1","6","43"
"2488","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/outliar","Mohammad Shadab Alam","9 years ago","5","10","59"
"2489","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dongxu027","DSEverything","7 years ago","3","4","105"
"2490","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ranjeetjain3","Ranjeet Jain","7 years ago","2","0","55"
"2491","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/farazrahman","Faraz Rahman","6 years ago","0","2","67"
"2492","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/arindamgot","Arindam","6 years ago","2","3","59"
"2493","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/richarde","richarde","6 years ago","0","2","68"
"2494","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vincentlugat","Vincent Lugat","5 years ago","1","0","74"
"2495","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jamesrequa","James Requa","5 years ago","1","3","58"
"2496","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/matthewa313","Matthew Anderson","5 years ago","1","2","75"
"2497","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/peterdekkers101","Peter","5 years ago","0","3","52"
"2498","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abhishekmamidi","Abhishekmamidi","5 years ago","1","0","56"
"2499","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/asparuhhristov","Asparuh Hristov","5 years ago","1","7","50"
"2500","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/akshatpathak","akshatp","5 years ago","0","0","63"
"2501","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rahul197","rahul","4 years ago","1","0","64"
"2502","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/littleraj30","Rishi","4 years ago","0","1","62"
"2503","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shaygu","Shay Guterman","4 years ago","0","1","56"
"2504","7","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vivaroma","Eric R","3 years ago","0","3","53"
"2505","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/datacanary","DataCanary","11 years ago","6","6","124"
"2506","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harriken","Jose Berengueres","11 years ago","0","2","71"
"2507","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/barisumog","barisumog","9 years ago","16","28","115"
"2508","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chenglongchen","ChenglongChen","9 years ago","10","14","119"
"2509","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shivrajp","shivraj","8 years ago","2","3","53"
"2510","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/charlesroberson","Charles Roberson","8 years ago","1","5","47"
"2511","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nimashahbazi","Nima Shahbazi","7 years ago","2","5","53"
"2512","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dmi3kno","dmi3kno","7 years ago","7","15","135"
"2513","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hhstrand","Håkon Hapnes Strand","7 years ago","2","2","46"
"2514","6","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jonathanbouchet","Jonathan Bouchet","7 years ago","0","1","85"
